Date,Price,Open,High,Low,Volume,Chg%
25-Aug-20,74.327,74.1,74.335,74.075,0.92K,0.22%
24-Aug-20,74.168,74.922,74.922,73.962,4.90K,-1.01%
23-Aug-20,74.922,74.922,74.922,74.922,0,0.00%
21-Aug-20,74.92,74.98,75.005,74.82,3.16K,-0.12%
20-Aug-20,75.012,74.973,75.132,74.935,3.70K,0.22%
19-Aug-20,74.846,74.655,74.935,74.628,3.52K,0.37%
18-Aug-20,74.57,74.74,74.886,74.575,3.22K,-0.23%
17-Aug-20,74.743,74.903,74.921,74.715,3.09K,-0.17%
14-Aug-20,74.874,74.89,74.978,74.734,3.21K,0.08%
13-Aug-20,74.811,74.775,74.933,74.769,2.87K,0.03%
12-Aug-20,74.79,74.615,74.935,74.615,3.34K,0.24%
11-Aug-20,74.61,74.855,74.887,74.522,3.19K,-0.35%
10-Aug-20,74.87,75.025,75.025,74.857,1.03K,-0.21%
7-Aug-20,75.025,75.073,75.112,74.891,5.55K,0.17%
6-Aug-20,74.9,74.875,75.017,74.777,5.71K,0.14%
5-Aug-20,74.798,74.982,75.03,74.763,6.17K,-0.35%
4-Aug-20,75.062,75.165,75.214,74.962,3.64K,-0.16%
3-Aug-20,75.185,74.918,75.314,74.863,4.96K,0.36%
31-Jul-20,74.918,74.75,74.939,74.685,5.49K,0.06%
30-Jul-20,74.877,74.83,74.967,74.795,5.59K,-0.10%
29-Jul-20,74.948,74.87,74.949,74.676,6.58K,0.05%
28-Jul-20,74.909,74.785,74.943,74.707,6.41K,0.15%
27-Jul-20,74.8,74.76,74.902,74.665,4.72K,0.05%
24-Jul-20,74.76,74.908,74.985,74.697,6.19K,-0.07%
23-Jul-20,74.815,74.625,74.961,74.6,5.88K,0.27%
22-Jul-20,74.61,74.543,74.872,74.509,4.20K,0.09%
21-Jul-20,74.54,74.725,74.875,74.516,6.01K,-0.28%
20-Jul-20,74.75,74.898,75.033,74.735,5.89K,-0.20%
17-Jul-20,74.897,75.2,75.255,74.897,5.94K,-0.38%
16-Jul-20,75.18,75.115,75.295,75.107,5.25K,0.07%
15-Jul-20,75.125,75.325,75.38,75.05,7.09K,-0.37%
14-Jul-20,75.407,75.275,75.535,75.268,6.85K,0.26%
13-Jul-20,75.212,75.195,75.237,75.082,5.96K,0.02%
10-Jul-20,75.195,75.165,75.34,75.141,4.64K,0.05%
9-Jul-20,75.155,74.935,75.166,74.902,6.15K,0.28%
8-Jul-20,74.945,74.835,75.084,74.825,5.11K,0.18%
7-Jul-20,74.81,74.65,74.984,74.645,5.59K,0.23%
6-Jul-20,74.635,74.636,74.827,74.488,6.10K,0.00%
3-Jul-20,74.636,74.725,75.03,74.582,3.91K,-0.15%
2-Jul-20,74.75,75.465,75.534,74.637,5.40K,-0.98%
1-Jul-20,75.49,75.525,75.625,75.47,4.35K,-0.07%
30-Jun-20,75.545,75.52,75.633,75.422,5.84K,0.05%
29-Jun-20,75.51,75.62,75.67,75.456,5.43K,-0.15%
26-Jun-20,75.62,75.58,75.679,75.43,4.43K,0.04%
25-Jun-20,75.587,75.717,75.787,75.518,5.96K,-0.10%
24-Jun-20,75.665,75.473,75.769,75.473,6.66K,0.22%
23-Jun-20,75.503,75.782,75.912,75.452,6.08K,-0.38%
22-Jun-20,75.79,76.26,76.295,75.73,6.51K,-0.62%
19-Jun-20,76.26,76.341,76.365,76.095,6.08K,-0.18%
18-Jun-20,76.4,76.255,76.4,76.048,7.12K,0.14%
17-Jun-20,76.29,76.26,76.367,76.091,7.24K,0.05%
16-Jun-20,76.25,75.857,76.313,75.772,7.75K,0.36%
15-Jun-20,75.979,76.05,76.167,75.913,6.95K,-0.09%
12-Jun-20,76.05,75.975,76.24,75.756,7.54K,0.10%
11-Jun-20,75.971,75.68,75.971,75.58,5.78K,0.45%
10-Jun-20,75.634,75.511,75.676,75.398,5.34K,0.17%
9-Jun-20,75.505,75.445,75.706,75.41,6.94K,0.14%
